CPUID:,0x506E3
Processor:,Intel Core i7 6700HQ (Skylake) 
Platform:,Socket 1440 (FCBGA1440)
Revision:,R0
Lithography:,14nm

Session start:,02:40:44 - January 07 - 2020

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
11:05:30 01/07/20,44,48,44,45,,,22,78,2,3292.74,,27,88,2,3292.74,,22,75,1,3292.74,,23,78,4,3292.74,6.9,
11:06:30 01/07/20,46,49,46,46,,,22,78,0,3292.74,,27,88,2,3292.74,,22,75,1,3292.74,,23,78,0,3292.74,6.3,
11:07:30 01/07/20,48,51,46,48,,,22,78,6,3292.74,,27,88,2,3292.74,,22,75,14,3292.74,,23,78,4,3292.74,10.6,
11:08:30 01/07/20,47,50,46,47,,,22,78,9,3292.74,,27,88,14,3292.74,,22,75,6,3292.74,,23,78,8,3292.74,10.7,
11:09:30 01/07/20,49,52,47,53,,,22,78,9,3093.18,,27,88,12,3093.18,,22,75,12,3093.18,,23,78,18,3093.18,10.4,
11:10:30 01/07/20,46,49,45,45,,,22,78,11,3492.30,,27,88,10,3492.30,,22,75,6,3492.30,,23,78,7,3292.74,10.2,
11:11:30 01/07/20,48,50,46,47,,,22,78,7,3292.74,,27,88,4,3292.74,,22,75,3,3292.74,,23,78,8,3292.74,9.6,
11:12:30 01/07/20,49,56,47,49,,,22,78,10,3192.96,,27,88,15,3192.96,,22,75,11,3093.18,,23,78,14,3093.18,10.4,
11:13:30 01/07/20,49,51,47,49,,,22,78,6,3292.74,,27,88,16,3292.74,,22,75,13,3292.74,,23,78,9,3292.74,10.7,
11:14:30 01/07/20,48,51,46,49,,,22,78,5,3292.74,,27,88,9,3292.74,,22,75,10,3292.74,,23,78,6,3292.74,9.7,
11:15:30 01/07/20,48,51,46,48,,,22,78,7,3292.74,,27,88,15,3292.74,,22,75,10,3292.74,,23,78,12,3292.74,10.7,
11:16:30 01/07/20,47,51,46,47,,,22,78,3,3292.74,,27,88,4,3292.74,,22,75,2,3292.74,,23,78,6,3292.74,8.1,
11:17:30 01/07/20,47,50,46,47,,,22,78,3,3292.74,,27,88,1,3492.30,,22,75,0,3492.30,,23,78,4,3292.74,6.8,
11:18:30 01/07/20,50,54,52,55,,,22,78,8,3093.18,,27,88,9,3093.18,,22,75,15,3192.96,,23,78,9,3192.96,12.5,
11:19:30 01/07/20,49,52,48,49,,,22,78,5,3292.74,,27,88,6,3292.74,,22,75,4,3292.74,,23,78,7,3292.74,8.4,
11:20:30 01/07/20,47,50,46,47,,,22,78,5,3492.30,,27,88,11,3492.30,,22,75,6,3292.74,,23,78,3,3292.74,6.4,
11:21:30 01/07/20,48,51,46,47,,,22,78,7,3292.74,,27,88,10,3492.30,,22,75,12,3492.30,,23,78,9,3292.74,10.5,
11:22:30 01/07/20,48,51,47,49,,,22,78,6,3192.96,,27,88,6,3192.96,,22,75,7,3192.96,,23,78,5,3093.18,8.2,
11:23:30 01/07/20,51,64,48,51,,,22,78,12,3292.74,,27,88,14,3292.74,,22,75,9,3292.74,,23,78,7,3292.74,12.1,
11:24:30 01/07/20,47,50,46,47,,,22,78,0,3492.30,,27,88,3,3492.30,,22,75,3,3292.74,,23,78,1,3292.74,7.6,
11:25:30 01/07/20,49,52,47,49,,,22,78,5,3292.74,,27,88,9,3292.74,,22,75,5,3192.96,,23,78,6,3192.96,8.1,
11:26:30 01/07/20,46,50,46,47,,,22,78,2,3292.74,,27,88,3,3292.74,,22,75,1,3292.74,,23,78,1,3292.74,7.3,
11:27:30 01/07/20,49,52,48,50,,,22,78,6,3292.74,,27,88,11,3292.74,,22,75,9,3292.74,,23,78,6,3292.74,8.5,
11:28:30 01/07/20,50,52,48,50,,,22,78,12,3093.18,,27,88,15,3093.18,,22,75,11,3292.74,,23,78,11,3192.96,11.0,
11:29:30 01/07/20,52,58,50,54,,,22,78,10,3093.18,,27,88,17,3192.96,,22,75,8,3192.96,,23,78,15,3192.96,10.8,
11:30:30 01/07/20,48,51,47,49,,,22,78,3,3492.30,,27,88,9,3492.30,,22,75,5,3292.74,,23,78,1,3292.74,7.7,
11:31:30 01/07/20,48,51,47,48,,,22,78,2,3292.74,,27,88,1,3492.30,,22,75,2,3292.74,,23,78,1,3192.96,6.4,
11:32:30 01/07/20,50,53,48,50,,,22,78,21,3292.74,,27,88,16,3292.74,,22,75,24,3292.74,,23,78,23,3292.74,12.1,
11:33:30 01/07/20,50,55,50,52,,,22,78,14,3192.96,,27,88,10,3192.96,,22,75,15,3192.96,,23,78,9,3192.96,12.4,
11:34:30 01/07/20,51,54,50,52,,,22,78,10,3292.74,,27,88,11,3292.74,,22,75,11,3292.74,,23,78,12,3192.96,12.0,
11:35:30 01/07/20,51,58,52,52,,,22,78,3,3093.18,,27,88,6,3093.18,,22,75,8,3093.18,,23,78,5,3093.18,8.5,
13:05:50 01/07/20,53,62,53,56,,,22,78,28,3093.18,,27,88,24,3093.18,,22,75,20,3093.18,,23,78,17,3093.18,14.8,
13:06:50 01/07/20,32,35,31,31,,,22,78,6,2493.28,,27,88,3,2493.28,,22,75,3,2493.28,,23,78,3,2493.28,14.4,
13:07:50 01/07/20,32,36,32,32,,,22,78,3,2393.54,,27,88,4,2393.54,,22,75,2,2393.54,,23,78,2,2393.54,4.9,
13:08:50 01/07/20,32,37,31,34,,,22,78,2,3291.12,,27,88,7,3490.59,,22,75,1,3291.12,,23,78,4,3291.12,3.5,
13:09:50 01/07/20,34,38,32,34,,,22,78,4,3490.59,,27,88,6,3490.59,,22,75,30,3291.12,,23,78,7,3291.12,9.4,
13:10:50 01/07/20,33,37,35,34,,,22,78,2,2194.08,,27,88,4,2194.08,,22,75,1,2194.08,,23,78,5,2194.08,5.2,
13:11:50 01/07/20,33,37,32,34,,,22,78,0,3291.12,,27,88,4,3291.12,,22,75,1,3291.12,,23,78,3,3291.12,5.1,
13:12:50 01/07/20,34,37,32,34,,,22,78,5,3490.59,,27,88,4,3490.59,,22,75,4,3490.59,,23,78,6,3291.12,4.7,
13:13:50 01/07/20,34,37,32,34,,,22,78,4,2393.54,,27,88,6,2393.54,,22,75,2,2393.54,,23,78,3,2393.54,4.1,
13:14:50 01/07/20,35,39,34,35,,,22,78,8,3291.12,,27,88,4,3291.12,,22,75,3,3291.12,,23,78,2,3291.12,5.5,
13:15:50 01/07/20,35,41,33,36,,,22,78,9,3291.12,,27,88,10,3490.59,,22,75,5,3191.39,,23,78,8,3291.12,4.8,
13:16:50 01/07/20,38,48,35,38,,,22,78,11,3291.12,,27,88,19,3291.12,,22,75,16,3291.12,,23,78,7,3291.12,8.1,
13:17:50 01/07/20,39,45,36,38,,,22,78,1,3191.39,,27,88,5,3191.39,,22,75,0,3191.39,,23,78,2,3191.39,2.3,
13:18:50 01/07/20,41,44,39,41,,,22,78,14,3191.39,,27,88,2,3191.39,,22,75,3,3191.39,,23,78,3,3291.12,7.0,
13:19:50 01/07/20,40,44,40,41,,,22,78,12,3291.12,,27,88,8,3191.39,,22,75,4,3191.39,,23,78,3,3191.39,7.5,
13:20:50 01/07/20,41,45,40,41,,,22,78,19,3291.12,,27,88,9,3291.12,,22,75,4,3291.12,,23,78,5,3291.12,7.0,
13:21:50 01/07/20,42,46,41,43,,,22,78,18,3191.39,,27,88,4,3291.12,,22,75,3,3291.12,,23,78,5,3291.12,8.4,
13:22:50 01/07/20,42,46,41,43,,,22,78,11,3291.12,,27,88,0,3191.39,,22,75,1,3191.39,,23,78,3,3291.12,7.3,
13:23:50 01/07/20,43,47,42,43,,,22,78,12,3291.12,,27,88,6,3490.59,,22,75,3,3291.12,,23,78,5,3291.12,8.4,
13:24:50 01/07/20,44,47,45,44,,,22,78,15,3291.12,,27,88,11,3291.12,,22,75,4,3291.12,,23,78,2,3291.12,7.8,
13:25:50 01/07/20,48,52,44,48,,,22,78,18,3191.39,,27,88,14,3091.66,,22,75,10,3091.66,,23,78,15,3191.39,12.0,
13:26:50 01/07/20,46,50,44,46,,,22,78,18,3291.12,,27,88,8,3291.12,,22,75,2,3291.12,,23,78,6,3291.12,9.4,
13:27:50 01/07/20,48,51,45,50,,,22,78,11,3490.59,,27,88,27,3490.59,,22,75,11,3490.59,,23,78,10,3291.12,10.6,
13:28:50 01/07/20,46,50,44,48,,,22,78,9,3291.12,,27,88,3,3291.12,,22,75,4,3291.12,,23,78,5,3291.12,9.2,
13:29:50 01/07/20,47,51,45,46,,,22,78,8,3291.12,,27,88,2,3291.12,,22,75,3,3191.39,,23,78,5,3091.66,9.5,
13:30:50 01/07/20,47,51,46,50,,,22,78,12,3291.12,,27,88,5,3291.12,,22,75,4,3291.12,,23,78,3,3191.39,8.3,
13:31:50 01/07/20,48,51,46,47,,,22,78,20,3091.66,,27,88,12,3091.66,,22,75,11,3291.12,,23,78,12,3291.12,14.9,
13:32:50 01/07/20,49,54,48,48,,,22,78,13,3291.12,,27,88,10,3191.39,,22,75,4,3291.12,,23,78,3,3291.12,9.6,
13:33:50 01/07/20,49,53,47,49,,,22,78,12,3291.12,,27,88,7,3291.12,,22,75,7,3291.12,,23,78,8,3291.12,9.7,
13:34:50 01/07/20,48,52,47,48,,,22,78,10,3291.12,,27,88,8,3291.12,,22,75,4,3291.12,,23,78,2,3291.12,7.9,
13:35:50 01/07/20,49,52,46,49,,,22,78,8,3191.39,,27,88,4,3191.39,,22,75,0,3191.39,,23,78,1,3291.12,8.8,
13:36:50 01/07/20,51,56,52,51,,,22,78,15,3191.39,,27,88,13,3191.39,,22,75,10,3091.66,,23,78,12,3091.66,13.8,
13:37:50 01/07/20,53,56,51,53,,,22,78,16,3291.12,,27,88,14,3291.12,,22,75,9,3291.12,,23,78,6,3291.12,10.9,
13:38:50 01/07/20,50,54,48,50,,,22,78,13,3191.39,,27,88,2,3191.39,,22,75,2,3191.39,,23,78,3,3191.39,8.1,
14:13:44 01/07/20,55,69,56,60,,,22,78,14,3091.66,,27,88,11,3091.66,,22,75,10,3091.66,,23,78,8,3091.66,8.6,
14:14:44 01/07/20,37,42,33,35,,,22,78,16,2493.90,,27,88,18,2493.90,,22,75,14,2493.90,,23,78,11,2493.90,18.5,
14:15:44 01/07/20,36,37,34,35,,,22,78,24,2493.90,,27,88,11,2493.90,,22,75,11,2493.90,,23,78,10,2493.90,7.7,
14:16:44 01/07/20,39,40,36,37,,,22,78,31,2493.90,,27,88,16,2493.90,,22,75,6,2493.90,,23,78,32,2493.90,10.2,
14:17:44 01/07/20,38,40,36,37,,,22,78,22,2493.90,,27,88,18,2493.90,,22,75,7,2493.90,,23,78,11,2493.90,7.8,
14:18:44 01/07/20,38,40,36,37,,,22,78,18,2493.90,,27,88,13,2493.90,,22,75,6,2493.90,,23,78,11,2493.90,9.2,
14:19:44 01/07/20,39,44,38,39,,,22,78,22,2493.90,,27,88,22,2493.90,,22,75,16,2493.90,,23,78,13,2493.90,9.0,
14:20:44 01/07/20,39,42,38,38,,,22,78,26,2493.90,,27,88,9,2493.90,,22,75,9,2493.90,,23,78,9,2493.90,6.9,
14:21:44 01/07/20,38,42,37,38,,,22,78,20,2493.90,,27,88,14,2493.90,,22,75,10,2493.90,,23,78,8,2493.90,6.3,
14:22:44 01/07/20,40,43,38,39,,,22,78,18,2493.90,,27,88,14,2493.90,,22,75,10,2493.90,,23,78,12,2493.90,7.0,
14:23:44 01/07/20,39,41,37,39,,,22,78,13,2493.90,,27,88,11,2493.90,,22,75,5,2493.90,,23,78,7,2493.90,4.8,
14:24:44 01/07/20,40,44,38,40,,,22,78,22,2493.90,,27,88,21,2493.90,,22,75,12,2493.90,,23,78,18,2493.90,7.3,
14:25:44 01/07/20,38,41,37,38,,,22,78,12,2493.90,,27,88,4,2493.90,,22,75,4,2493.90,,23,78,6,2493.90,5.8,
14:26:44 01/07/20,38,42,38,39,,,22,78,12,2493.90,,27,88,9,2493.90,,22,75,8,2493.90,,23,78,2,2493.90,5.4,
14:27:44 01/07/20,39,43,38,40,,,22,78,21,2493.90,,27,88,14,2493.90,,22,75,12,2493.90,,23,78,12,2493.90,7.7,
14:28:44 01/07/20,40,44,40,40,,,22,78,13,2493.90,,27,88,11,2493.90,,22,75,6,2493.90,,23,78,5,2493.90,7.4,
14:29:44 01/07/20,38,41,37,39,,,22,78,9,2493.90,,27,88,3,2493.90,,22,75,0,2493.90,,23,78,2,2493.90,4.5,
14:30:44 01/07/20,40,44,39,40,,,22,78,21,2493.90,,27,88,11,2493.90,,22,75,10,2493.90,,23,78,12,2493.90,8.9,
14:31:44 01/07/20,40,43,38,40,,,22,78,22,2493.90,,27,88,9,2493.90,,22,75,10,2493.90,,23,78,11,2493.90,9.3,
14:32:44 01/07/20,41,44,40,41,,,22,78,12,2493.90,,27,88,9,2493.90,,22,75,5,2493.90,,23,78,9,2493.90,7.1,
14:33:44 01/07/20,40,44,39,40,,,22,78,18,2493.90,,27,88,15,2493.90,,22,75,11,2493.90,,23,78,10,2493.90,7.1,
14:34:44 01/07/20,42,49,43,44,,,22,78,20,2493.90,,27,88,13,2493.90,,22,75,8,2493.90,,23,78,11,2493.90,9.4,
14:35:44 01/07/20,41,45,40,42,,,22,78,20,2493.90,,27,88,12,2493.90,,22,75,10,2493.90,,23,78,10,2493.90,5.8,
14:36:44 01/07/20,40,44,40,40,,,22,78,23,2493.90,,27,88,5,2493.90,,22,75,3,2493.90,,23,78,2,2493.90,4.8,
14:37:44 01/07/20,42,45,42,42,,,22,78,16,2493.90,,27,88,12,2493.90,,22,75,7,2493.90,,23,78,9,2493.90,6.7,
14:38:44 01/07/20,41,45,40,41,,,22,78,18,2493.90,,27,88,15,2493.90,,22,75,4,2493.90,,23,78,8,2493.90,6.3,
14:39:44 01/07/20,41,44,40,41,,,22,78,12,2493.90,,27,88,10,2493.90,,22,75,5,2493.90,,23,78,9,2493.90,7.1,
14:40:44 01/07/20,42,45,40,42,,,22,78,14,2493.90,,27,88,8,2493.90,,22,75,8,2493.90,,23,78,6,2493.90,7.8,
14:41:44 01/07/20,42,46,41,43,,,22,78,19,2493.90,,27,88,8,2493.90,,22,75,6,2493.90,,23,78,7,2493.90,7.9,
14:42:44 01/07/20,44,46,41,43,,,22,78,13,2493.90,,27,88,9,2493.90,,22,75,11,2493.90,,23,78,9,2493.90,8.2,
14:43:44 01/07/20,42,46,41,42,,,22,78,13,2493.90,,27,88,8,2493.90,,22,75,6,2493.90,,23,78,4,2493.90,7.2,
14:44:44 01/07/20,43,46,43,43,,,22,78,17,2493.90,,27,88,11,2493.90,,22,75,7,2493.90,,23,78,6,2493.90,6.8,
14:45:44 01/07/20,44,47,44,47,,,22,78,17,2493.90,,27,88,12,2493.90,,22,75,8,2493.90,,23,78,13,2493.90,7.9,
14:46:44 01/07/20,44,47,41,45,,,22,78,12,2493.90,,27,88,11,2493.90,,22,75,8,2493.90,,23,78,9,2493.90,7.3,
14:47:44 01/07/20,42,46,40,42,,,22,78,27,2493.90,,27,88,9,2493.90,,22,75,5,2493.90,,23,78,3,2493.90,5.8,
14:48:44 01/07/20,41,45,40,42,,,22,78,15,2493.90,,27,88,2,2493.90,,22,75,5,2493.90,,23,78,7,2493.90,6.0,
14:49:44 01/07/20,42,47,39,42,,,22,78,18,2493.90,,27,88,11,2493.90,,22,75,16,2493.90,,23,78,17,2493.90,6.6,
14:50:44 01/07/20,39,42,38,38,,,22,78,10,2493.90,,27,88,1,2493.90,,22,75,1,2493.90,,23,78,3,2493.90,4.0,
14:51:44 01/07/20,39,42,37,40,,,22,78,12,2493.90,,27,88,4,2493.90,,22,75,3,2493.90,,23,78,2,2493.90,4.1,
14:52:44 01/07/20,40,44,39,47,,,22,78,22,2493.90,,27,88,14,2493.90,,22,75,7,2493.90,,23,78,18,2493.90,5.5,
14:53:44 01/07/20,42,46,41,43,,,22,78,13,2493.90,,27,88,11,2493.90,,22,75,7,2493.90,,23,78,6,2493.90,7.7,
14:54:44 01/07/20,40,44,42,41,,,22,78,18,2493.90,,27,88,14,2493.90,,22,75,9,2493.90,,23,78,9,2493.90,6.3,
14:55:44 01/07/20,41,44,40,41,,,22,78,10,2493.90,,27,88,9,2493.90,,22,75,9,2493.90,,23,78,7,2493.90,7.1,
14:56:44 01/07/20,40,44,40,40,,,22,78,14,2493.90,,27,88,4,2493.90,,22,75,3,2493.90,,23,78,4,2493.90,7.4,
14:57:44 01/07/20,42,46,44,43,,,22,78,21,2493.90,,27,88,16,2493.90,,22,75,10,2493.90,,23,78,17,2493.90,7.3,
14:58:44 01/07/20,40,44,39,40,,,22,78,16,2493.90,,27,88,8,2493.90,,22,75,4,2493.90,,23,78,5,2493.90,8.0,
14:59:44 01/07/20,41,43,39,40,,,22,78,11,2493.90,,27,88,11,2493.90,,22,75,4,2493.90,,23,78,10,2493.90,6.3,
15:00:44 01/07/20,40,42,38,39,,,22,78,13,2493.90,,27,88,4,2493.90,,22,75,5,2493.90,,23,78,2,2493.90,6.0,
15:01:44 01/07/20,40,44,40,40,,,22,78,13,2493.90,,27,88,15,2493.90,,22,75,4,2493.90,,23,78,7,2493.90,8.8,
15:02:44 01/07/20,43,49,45,43,,,22,78,44,2493.90,,27,88,37,2493.90,,22,75,37,2493.90,,23,78,40,2493.90,14.3,
15:03:44 01/07/20,42,45,41,41,,,22,78,11,2493.90,,27,88,10,2493.90,,22,75,6,2493.90,,23,78,13,2493.90,7.3,
15:04:44 01/07/20,40,44,40,41,,,22,78,12,2493.90,,27,88,6,2493.90,,22,75,4,2493.90,,23,78,3,2493.90,8.1,
15:05:44 01/07/20,40,44,40,41,,,22,78,12,2493.90,,27,88,6,2493.90,,22,75,5,2493.90,,23,78,10,2493.90,7.1,
15:06:44 01/07/20,41,45,41,42,,,22,78,14,2493.90,,27,88,9,2493.90,,22,75,10,2493.90,,23,78,6,2493.90,9.2,
15:07:44 01/07/20,40,44,39,40,,,22,78,16,2493.90,,27,88,8,2493.90,,22,75,7,2493.90,,23,78,10,2493.90,8.2,
15:08:44 01/07/20,41,44,40,41,,,22,78,19,2493.90,,27,88,10,2493.90,,22,75,10,2493.90,,23,78,9,2493.90,8.0,
15:09:44 01/07/20,40,43,39,41,,,22,78,15,2493.90,,27,88,5,2493.90,,22,75,5,2493.90,,23,78,5,2493.90,6.3,
15:10:44 01/07/20,41,44,40,41,,,22,78,14,2493.90,,27,88,10,2493.90,,22,75,4,2493.90,,23,78,10,2493.90,7.6,
15:11:44 01/07/20,41,45,40,41,,,22,78,14,2493.90,,27,88,15,2493.90,,22,75,5,2493.90,,23,78,8,2493.90,7.5,
15:12:44 01/07/20,40,44,40,40,,,22,78,17,2493.90,,27,88,5,2493.90,,22,75,7,2493.90,,23,78,5,2493.90,6.6,
15:13:44 01/07/20,41,44,40,41,,,22,78,12,2493.90,,27,88,10,2493.90,,22,75,7,2493.90,,23,78,7,2493.90,6.5,
15:14:44 01/07/20,41,44,40,42,,,22,78,12,2493.90,,27,88,8,2493.90,,22,75,5,2493.90,,23,78,10,2493.90,6.7,
15:15:44 01/07/20,41,44,40,41,,,22,78,13,2493.90,,27,88,10,2493.90,,22,75,7,2493.90,,23,78,9,2493.90,8.8,
15:16:44 01/07/20,40,44,40,40,,,22,78,17,2493.90,,27,88,4,2493.90,,22,75,4,2493.90,,23,78,6,2493.90,7.9,
15:17:44 01/07/20,41,44,40,41,,,22,78,17,2493.90,,27,88,9,2493.90,,22,75,2,2493.90,,23,78,6,2493.90,7.7,
15:18:44 01/07/20,39,43,39,40,,,22,78,12,2493.90,,27,88,2,2493.90,,22,75,2,2493.90,,23,78,1,2493.90,6.0,
15:19:44 01/07/20,40,44,39,40,,,22,78,10,2493.90,,27,88,5,2493.90,,22,75,5,2493.90,,23,78,4,2493.90,6.9,
15:20:44 01/07/20,41,44,40,41,,,22,78,12,2493.90,,27,88,7,2493.90,,22,75,6,2493.90,,23,78,5,2493.90,7.3,
15:21:44 01/07/20,39,42,38,38,,,22,78,11,2493.90,,27,88,4,2493.90,,22,75,2,2493.90,,23,78,3,2493.90,4.2,
