CPUID:,0x506E3
Processor:,Intel Core i7 6700HQ (Skylake) 
Platform:,Socket 1440 (FCBGA1440)
Revision:,R0
Lithography:,14nm

Session start:,02:40:44 - January 07 - 2020

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
02:41:44 01/07/20,51,54,50,57,,,22,78,3,3192.96,,27,88,10,3292.74,,22,75,3,3292.74,,23,78,4,3292.74,9.6,
02:42:44 01/07/20,52,57,52,60,,,22,78,3,3093.18,,27,88,5,3093.18,,22,75,7,3093.18,,23,78,9,3093.18,12.1,
02:43:44 01/07/20,51,58,51,52,,,22,78,15,3292.74,,27,88,18,3292.74,,22,75,17,3492.30,,23,78,11,3292.74,15.6,
02:44:44 01/07/20,50,52,49,51,,,22,78,3,3292.74,,27,88,4,3292.74,,22,75,4,3192.96,,23,78,2,3292.74,10.0,
02:45:44 01/07/20,50,53,49,50,,,22,78,3,3292.74,,27,88,1,3292.74,,22,75,1,3292.74,,23,78,0,3292.74,9.8,
10:23:30 01/07/20,54,59,56,56,,,22,78,20,3093.18,,27,88,26,3093.18,,22,75,39,3093.18,,23,78,22,3093.18,18.0,
10:24:30 01/07/20,35,42,32,35,,,22,78,29,3093.18,,27,88,41,3093.18,,22,75,31,3093.18,,23,78,36,3093.18,29.8,
10:25:30 01/07/20,30,35,30,31,,,22,78,5,3292.74,,27,88,6,3492.30,,22,75,5,3492.30,,23,78,2,3292.74,7.8,
10:26:30 01/07/20,33,36,32,34,,,22,78,4,3492.30,,27,88,3,3492.30,,22,75,1,3492.30,,23,78,3,3292.74,9.8,
10:27:30 01/07/20,44,46,47,47,,,22,78,26,3093.18,,27,88,19,3192.96,,22,75,10,3192.96,,23,78,9,3192.96,17.3,
10:28:30 01/07/20,36,39,35,36,,,22,78,7,3292.74,,27,88,10,3292.74,,22,75,10,3292.74,,23,78,7,3292.74,9.1,
10:29:30 01/07/20,35,38,34,37,,,22,78,5,3292.74,,27,88,7,3292.74,,22,75,5,3292.74,,23,78,7,3292.74,6.2,
10:30:30 01/07/20,35,37,34,35,,,22,78,1,3292.74,,27,88,3,3292.74,,22,75,5,3292.74,,23,78,3,3292.74,4.4,
10:31:30 01/07/20,36,39,36,37,,,22,78,4,3492.30,,27,88,6,3492.30,,22,75,4,3492.30,,23,78,1,3292.74,16.3,
10:32:30 01/07/20,38,41,36,38,,,22,78,1,3492.30,,27,88,6,3492.30,,22,75,2,3492.30,,23,78,2,3292.74,8.0,
10:33:30 01/07/20,40,45,39,41,,,22,78,13,3292.74,,27,88,11,3292.74,,22,75,14,3292.74,,23,78,13,3292.74,11.1,
10:34:30 01/07/20,41,45,40,42,,,22,78,8,3292.74,,27,88,8,3292.74,,22,75,7,3192.96,,23,78,14,3292.74,10.3,
10:35:30 01/07/20,41,45,40,41,,,22,78,9,3292.74,,27,88,12,3292.74,,22,75,7,3292.74,,23,78,12,3292.74,9.3,
10:36:30 01/07/20,45,49,48,53,,,22,78,17,3192.96,,27,88,28,3192.96,,22,75,32,3192.96,,23,78,24,3192.96,14.4,
10:37:30 01/07/20,42,47,42,44,,,22,78,3,3492.30,,27,88,5,3492.30,,22,75,6,3492.30,,23,78,5,3292.74,7.8,
10:38:30 01/07/20,43,46,41,43,,,22,78,4,3292.74,,27,88,10,3292.74,,22,75,9,3292.74,,23,78,6,3292.74,7.7,
10:39:30 01/07/20,43,46,42,44,,,22,78,4,3292.74,,27,88,6,3292.74,,22,75,1,3292.74,,23,78,4,3292.74,8.1,
10:40:30 01/07/20,43,47,42,43,,,22,78,8,3292.74,,27,88,8,3292.74,,22,75,9,3292.74,,23,78,7,3292.74,7.0,
10:41:30 01/07/20,44,48,43,46,,,22,78,10,3292.74,,27,88,6,3292.74,,22,75,4,3292.74,,23,78,10,3292.74,8.6,
10:42:30 01/07/20,44,46,42,44,,,22,78,2,3492.30,,27,88,5,3492.30,,22,75,4,3492.30,,23,78,3,3292.74,7.0,
10:43:30 01/07/20,43,47,42,46,,,22,78,2,3093.18,,27,88,5,3093.18,,22,75,3,3192.96,,23,78,4,3192.96,6.5,
10:44:30 01/07/20,45,49,43,46,,,22,78,11,3292.74,,27,88,12,3292.74,,22,75,10,3292.74,,23,78,11,3292.74,11.8,
10:45:30 01/07/20,45,49,43,46,,,22,78,9,3192.96,,27,88,12,3192.96,,22,75,11,3192.96,,23,78,11,3192.96,10.0,
10:46:30 01/07/20,46,49,44,47,,,22,78,13,3292.74,,27,88,19,3292.74,,22,75,6,3292.74,,23,78,12,3292.74,10.6,
10:47:30 01/07/20,44,48,43,45,,,22,78,8,3093.18,,27,88,13,3093.18,,22,75,9,3292.74,,23,78,10,3093.18,11.9,
10:48:30 01/07/20,48,51,46,47,,,22,78,11,3292.74,,27,88,15,3292.74,,22,75,11,3292.74,,23,78,12,3292.74,11.7,
10:49:30 01/07/20,44,47,43,44,,,22,78,3,3292.74,,27,88,1,3492.30,,22,75,4,3492.30,,23,78,1,3292.74,6.2,
10:50:30 01/07/20,44,47,43,44,,,22,78,2,3292.74,,27,88,1,3292.74,,22,75,3,3292.74,,23,78,2,3292.74,7.0,
10:51:30 01/07/20,43,47,43,44,,,22,78,3,3292.74,,27,88,3,3093.18,,22,75,2,3192.96,,23,78,0,3292.74,6.3,
10:52:30 01/07/20,45,49,44,46,,,22,78,4,3492.30,,27,88,4,3492.30,,22,75,4,3492.30,,23,78,3,3492.30,8.5,
10:53:30 01/07/20,43,46,43,44,,,22,78,3,3292.74,,27,88,4,3492.30,,22,75,2,3492.30,,23,78,1,3292.74,7.6,
10:54:30 01/07/20,44,48,44,45,,,22,78,4,3292.74,,27,88,3,3292.74,,22,75,6,3292.74,,23,78,7,3292.74,7.7,
10:55:30 01/07/20,44,48,44,45,,,22,78,5,3292.74,,27,88,6,3292.74,,22,75,2,3292.74,,23,78,4,3292.74,7.9,
10:56:30 01/07/20,46,51,45,47,,,22,78,8,3292.74,,27,88,11,3192.96,,22,75,7,3192.96,,23,78,15,3192.96,11.0,
10:57:30 01/07/20,48,52,46,53,,,22,78,5,3093.18,,27,88,12,3093.18,,22,75,8,3093.18,,23,78,15,3093.18,12.1,
10:58:30 01/07/20,46,49,45,46,,,22,78,7,3492.30,,27,88,7,3492.30,,22,75,7,3492.30,,23,78,14,3292.74,9.6,
10:59:30 01/07/20,47,50,45,46,,,22,78,4,3292.74,,27,88,6,3292.74,,22,75,6,3292.74,,23,78,8,3292.74,8.4,
11:00:30 01/07/20,45,48,45,46,,,22,78,5,3492.30,,27,88,5,3492.30,,22,75,5,3492.30,,23,78,5,3292.74,7.4,
11:01:30 01/07/20,49,52,53,49,,,22,78,25,3292.74,,27,88,14,3192.96,,22,75,9,3292.74,,23,78,22,3192.96,14.5,
11:02:30 01/07/20,46,50,45,46,,,22,78,5,3292.74,,27,88,10,3492.30,,22,75,5,3292.74,,23,78,4,3292.74,7.8,
11:03:30 01/07/20,47,52,45,47,,,22,78,16,3292.74,,27,88,11,3292.74,,22,75,11,3292.74,,23,78,14,3292.74,8.5,
11:04:30 01/07/20,49,60,46,51,,,22,78,9,3093.18,,27,88,13,3192.96,,22,75,6,3093.18,,23,78,8,3093.18,9.3,
