CPUID:,0x506E3
Processor:,Intel Core i7 6700HQ (Skylake) 
Platform:,Socket 1440 (FCBGA1440)
Revision:,R0
Lithography:,14nm

Session start:,16:41:26 - January 02 - 2020

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:41:56 01/02/20,43,51,40,43,,,38,48,20,2493.28,,42,60,5,2493.28,,37,47,5,2493.28,,37,51,3,2493.28,5.8,
16:42:26 01/02/20,39,43,38,39,,,38,48,8,2493.28,,42,60,5,2493.28,,37,47,4,2493.28,,37,51,2,2493.28,5.1,
16:42:56 01/02/20,39,44,38,39,,,37,48,8,2493.28,,41,60,8,2493.28,,37,47,9,2493.28,,37,51,7,2493.28,4.5,
16:43:26 01/02/20,37,41,36,37,,,37,48,2,2493.28,,41,60,1,2493.28,,36,47,0,2493.28,,37,51,1,2493.28,3.7,
16:43:56 01/02/20,40,46,39,39,,,37,48,1,2493.28,,41,60,1,2493.28,,36,47,2,2493.28,,37,51,0,2493.28,3.0,
16:44:26 01/02/20,38,41,37,37,,,37,48,0,2493.28,,41,60,3,2493.28,,36,47,2,2493.28,,37,51,2,2493.28,3.6,
16:44:56 01/02/20,38,41,36,37,,,37,48,0,2493.28,,40,60,0,2493.28,,36,47,0,2493.28,,35,51,1,2493.28,4.0,
16:45:26 01/02/20,37,40,36,36,,,37,48,4,2493.28,,40,60,1,2493.28,,35,47,3,2493.28,,35,51,0,2493.28,3.7,
16:45:56 01/02/20,37,40,36,37,,,36,48,1,2493.28,,39,60,2,2493.28,,35,47,3,2493.28,,35,51,2,2493.28,3.4,
16:46:26 01/02/20,38,42,36,37,,,36,48,7,2493.28,,39,60,12,2493.28,,35,47,10,2493.28,,35,51,11,2493.28,4.8,
16:46:56 01/02/20,38,41,37,37,,,36,48,6,2493.28,,39,60,4,2493.28,,35,47,4,2493.28,,35,51,3,2493.28,5.1,
16:47:26 01/02/20,38,42,37,37,,,36,48,6,2493.28,,39,60,13,2493.28,,35,47,8,2493.28,,35,51,6,2493.28,5.0,
16:47:56 01/02/20,39,44,38,39,,,36,48,5,2493.28,,39,60,15,2493.28,,35,47,13,2493.28,,35,51,4,2493.28,6.0,
16:48:26 01/02/20,38,42,36,37,,,36,48,4,2493.28,,39,60,6,2493.28,,35,47,3,2493.28,,35,51,4,2493.28,4.5,
16:48:56 01/02/20,41,45,38,45,,,36,48,28,2493.28,,39,60,3,2493.28,,35,47,12,2493.28,,35,51,25,2493.28,9.0,
16:49:26 01/02/20,37,41,36,37,,,36,48,1,2493.28,,39,60,3,2493.28,,35,47,4,2493.28,,35,51,4,2493.28,3.7,
16:49:56 01/02/20,36,40,36,36,,,36,48,2,2493.28,,39,60,4,2493.28,,35,47,5,2493.28,,35,51,3,2493.28,4.4,
16:50:26 01/02/20,38,44,37,38,,,36,48,3,2493.28,,39,60,18,2493.28,,35,47,14,2493.28,,35,51,3,2493.28,6.1,
16:50:56 01/02/20,39,44,37,40,,,36,48,6,2493.28,,39,60,20,2493.28,,35,47,13,2493.28,,35,51,5,2493.28,5.4,
