CPUID:,0x506E3
Processor:,Intel Core i7 6700HQ (Skylake) 
Platform:,Socket 1440 (FCBGA1440)
Revision:,R0
Lithography:,14nm

Session start:,16:38:29 - January 02 - 2020

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:38:39 01/02/20,42,47,40,49,,,38,45,16,2493.90,,42,57,25,2493.90,,37,45,25,2493.90,,37,49,25,2493.90,10.1,
16:38:49 01/02/20,43,47,41,50,,,38,45,11,2493.90,,42,58,31,2493.90,,37,47,5,2493.90,,37,50,15,2493.90,8.7,
16:38:59 01/02/20,47,47,41,43,,,38,47,24,2493.90,,42,59,21,2493.90,,37,47,12,2493.90,,37,50,16,2493.90,9.2,
16:39:09 01/02/20,43,59,41,44,,,38,47,8,2493.90,,42,60,32,2493.90,,37,47,18,2493.90,,37,51,4,2493.90,8.8,
16:39:19 01/02/20,41,46,40,43,,,38,47,17,2493.90,,42,60,13,2493.90,,37,47,2,2493.90,,37,51,21,2493.90,8.2,
16:39:29 01/02/20,42,46,40,43,,,38,47,26,2493.90,,42,60,4,2493.90,,37,47,17,2493.90,,37,51,13,2493.90,7.8,
16:39:39 01/02/20,40,44,39,39,,,38,47,5,2493.90,,42,60,4,2493.90,,37,47,2,2493.90,,37,51,1,2493.90,4.3,

Session end:,16:41:19 - January 02 - 2020

